iso3c,country,region,income,year,population,overall_score,Pillar,Pillar_Score
THA,Thailand,East Asia & Pacific,Upper middle income,2023,71801279,81.06833333333334,Data Use (Pillar 1),100.0
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,2023,5165775,80.67750000000001,Data Use (Pillar 1),90.0
BRA,Brazil,Latin America & Caribbean,Upper middle income,2023,216422446,80.63916666666667,Data Use (Pillar 1),83.39999999999999
MYS,Malaysia,East Asia & Pacific,Upper middle income,2023,34308525,80.41791666666668,Data Use (Pillar 1),80.0
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2023,36412350,80.33208333333333,Data Use (Pillar 1),80.0
LKA,Sri Lanka,South Asia,Lower middle income,2023,22037000,80.19708333333334,Data Use (Pillar 1),100.0
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,2023,112716598,80.12666666666668,Data Use (Pillar 1),90.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2023,19900177,79.80541666666667,Data Use (Pillar 1),90.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,2023,46654581,79.53541666666666,Data Use (Pillar 1),90.0
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2023,18190484,79.14458333333334,Data Use (Pillar 1),100.0
UKR,Ukraine,Europe & Central Asia,Upper middle income,2023,37000000,78.74333333333334,Data Use (Pillar 1),100.0
BLR,Belarus,Europe & Central Asia,Upper middle income,2023,9178298,78.73125,Data Use (Pillar 1),86.6
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,2023,1261041,78.34625000000001,Data Use (Pillar 1),90.0
JOR,Jordan,Middle East & North Africa,Lower middle income,2023,11337052,78.12208333333334,Data Use (Pillar 1),80.0
ARE,United Arab Emirates,Middle East & North Africa,High income,2023,9516871,77.635,Data Use (Pillar 1),90.0
SEN,Senegal,Sub-Saharan Africa,Lower middle income,2023,17763163,77.20875000000001,Data Use (Pillar 1),100.0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2023,7100800,76.78083333333335,Data Use (Pillar 1),100.0
PER,Peru,Latin America & Caribbean,Upper middle income,2023,34352719,76.54583333333335,Data Use (Pillar 1),100.0
TUN,Tunisia,Middle East & North Africa,Lower middle income,2023,12458223,75.79458333333335,Data Use (Pillar 1),90.0
PRY,Paraguay,Latin America & Caribbean,Upper middle income,2023,6861524,75.61833333333333,Data Use (Pillar 1),90.0
MAR,Morocco,Middle East & North Africa,Lower middle income,2023,37840044,75.35083333333333,Data Use (Pillar 1),80.0
MNE,Montenegro,Europe & Central Asia,Upper middle income,2023,616177,74.94416666666667,Data Use (Pillar 1),90.0
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2023,6364943,74.89083333333333,Data Use (Pillar 1),90.0
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2023,23251485,74.30916666666667,Data Use (Pillar 1),100.0
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2023,17602431,74.26791666666668,Data Use (Pillar 1),80.0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2023,11332972,74.12333333333333,Data Use (Pillar 1),100.0
IND,India,South Asia,Lower middle income,2023,1428627663,73.62833333333333,Data Use (Pillar 1),80.0
RWA,Rwanda,Sub-Saharan Africa,Low income,2023,14094683,73.13916666666668,Data Use (Pillar 1),90.0
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2023,12388571,72.51833333333333,Data Use (Pillar 1),100.0
VNM,Viet Nam,East Asia & Pacific,Lower middle income,2023,98858950,72.29416666666667,Data Use (Pillar 1),100.0
PAN,Panama,Latin America & Caribbean,High income,2023,4468087,72.27958333333333,Data Use (Pillar 1),80.0
UGA,Uganda,Sub-Saharan Africa,Low income,2023,48582334,71.95750000000001,Data Use (Pillar 1),100.0
BGD,Bangladesh,South Asia,Lower middle income,2023,172954319,70.81208333333335,Data Use (Pillar 1),80.0
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2023,55100586,70.63791666666668,Data Use (Pillar 1),90.0
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2023,67438106,69.85125000000001,Data Use (Pillar 1),90.0
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2023,16665409,69.7325,Data Use (Pillar 1),100.0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2023,3210847,69.44624999999999,Data Use (Pillar 1),70.0
NER,Niger,Sub-Saharan Africa,Low income,2023,27202843,68.90625,Data Use (Pillar 1),100.0
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2023,28873034,68.88625,Data Use (Pillar 1),100.0
PAK,Pakistan,South Asia,Lower middle income,2023,240485658,68.57083333333334,Data Use (Pillar 1),90.0
MMR,Myanmar,East Asia & Pacific,Lower middle income,2023,54577997,68.55958333333334,Data Use (Pillar 1),90.0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2023,34121985,68.245,Data Use (Pillar 1),80.0
BEN,Benin,Sub-Saharan Africa,Lower middle income,2023,13712828,68.04666666666667,Data Use (Pillar 1),90.0
GMB,"Gambia, The",Sub-Saharan Africa,Low income,2023,2773168,67.91875,Data Use (Pillar 1),90.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2023,2825544,67.37208333333334,Data Use (Pillar 1),80.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,10112555,66.79625000000001,Data Use (Pillar 1),80.0
QAT,Qatar,Middle East & North Africa,High income,2023,2716391,66.78625,Data Use (Pillar 1),80.0
TGO,Togo,Sub-Saharan Africa,Low income,2023,9053799,66.09583333333335,Data Use (Pillar 1),90.0
HND,Honduras,Latin America & Caribbean,Lower middle income,2023,10593798,65.83083333333333,Data Use (Pillar 1),90.0
MWI,Malawi,Sub-Saharan Africa,Low income,2023,20931751,65.58333333333333,Data Use (Pillar 1),90.0
MDV,Maldives,South Asia,Upper middle income,2023,521021,65.26083333333332,Data Use (Pillar 1),70.0
BLZ,Belize,Latin America & Caribbean,Upper middle income,2023,410825,65.12833333333333,Data Use (Pillar 1),70.0
LBR,Liberia,Sub-Saharan Africa,Low income,2023,5418377,65.06625,Data Use (Pillar 1),90.0
KHM,Cambodia,East Asia & Pacific,Lower middle income,2023,16944826,64.97666666666667,Data Use (Pillar 1),80.0
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,2023,180251,64.83083333333333,Data Use (Pillar 1),70.0
NPL,Nepal,South Asia,Lower middle income,2023,30896590,64.01875,Data Use (Pillar 1),80.0
SYC,Seychelles,Sub-Saharan Africa,High income,2023,119773,63.99791666666667,Data Use (Pillar 1),90.0
WSM,Samoa,East Asia & Pacific,Lower middle income,2023,225681,63.77458333333333,Data Use (Pillar 1),80.0
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2023,2675352,63.29375,Data Use (Pillar 1),50.0
BRN,Brunei Darussalam,East Asia & Pacific,High income,2023,452524,63.20625,Data Use (Pillar 1),80.0
BTN,Bhutan,South Asia,Lower middle income,2023,787424,63.105416666666656,Data Use (Pillar 1),90.0
MLI,Mali,Sub-Saharan Africa,Low income,2023,23293698,63.04833333333334,Data Use (Pillar 1),100.0
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,2023,89172767,62.96250000000001,Data Use (Pillar 1),66.60000000000001
DZA,Algeria,Middle East & North Africa,Upper middle income,2023,45606480,62.69291666666666,Data Use (Pillar 1),80.0
BRB,Barbados,Latin America & Caribbean,High income,2023,281995,62.51500000000001,Data Use (Pillar 1),80.0
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2023,20569737,62.50083333333334,Data Use (Pillar 1),90.0
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,2023,4862989,62.49041666666667,Data Use (Pillar 1),90.0
KWT,Kuwait,Middle East & North Africa,High income,2023,4310108,62.43791666666666,Data Use (Pillar 1),60.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,2023,36684202,62.27583333333334,Data Use (Pillar 1),80.0
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2023,1360596,62.14083333333333,Data Use (Pillar 1),80.0
SLE,Sierra Leone,Sub-Saharan Africa,Low income,2023,8791092,61.775000000000006,Data Use (Pillar 1),80.0
TON,Tonga,East Asia & Pacific,Upper middle income,2023,107773,61.21,Data Use (Pillar 1),80.0
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,2023,1210822,61.1925,Data Use (Pillar 1),80.0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2023,7633779,60.900416666666665,Data Use (Pillar 1),90.0
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2023,223804632,60.897083333333335,Data Use (Pillar 1),80.0
FJI,Fiji,East Asia & Pacific,Upper middle income,2023,936375,60.83166666666666,Data Use (Pillar 1),60.0
MOZ,Mozambique,Sub-Saharan Africa,Low income,2023,33897354,60.766666666666666,Data Use (Pillar 1),70.0
ETH,Ethiopia,Sub-Saharan Africa,Low income,2023,126527060,60.673750000000005,Data Use (Pillar 1),80.0
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,2023,598682,60.52416666666668,Data Use (Pillar 1),80.0
CHN,China,East Asia & Pacific,Upper middle income,2023,1410710000,59.50375,Data Use (Pillar 1),73.4
NAM,Namibia,Sub-Saharan Africa,Upper middle income,2023,2604172,58.68291666666667,Data Use (Pillar 1),60.0
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,2023,28647293,58.454166666666666,Data Use (Pillar 1),60.0
OMN,Oman,Middle East & North Africa,High income,2023,4644384,58.24666666666667,Data Use (Pillar 1),70.0
LBN,Lebanon,Middle East & North Africa,Lower middle income,2023,5353930,58.18958333333333,Data Use (Pillar 1),60.0
GUY,Guyana,Latin America & Caribbean,High income,2023,813834,58.052083333333336,Data Use (Pillar 1),80.0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2023,2330318,58.04791666666668,Data Use (Pillar 1),80.0
IRQ,Iraq,Middle East & North Africa,Upper middle income,2023,45504560,57.78416666666667,Data Use (Pillar 1),80.0
SUR,Suriname,Latin America & Caribbean,Upper middle income,2023,623236,57.2075,Data Use (Pillar 1),46.6
AFG,Afghanistan,South Asia,Low income,2023,42239854,57.08958333333334,Data Use (Pillar 1),66.60000000000001
TCD,Chad,Sub-Saharan Africa,Low income,2023,18278568,56.365833333333335,Data Use (Pillar 1),83.39999999999999
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,2023,1534937,56.11208333333333,Data Use (Pillar 1),60.0
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2023,94298,55.64750000000001,Data Use (Pillar 1),60.0
PLW,Palau,East Asia & Pacific,High income,2023,18058,55.06541666666668,Data Use (Pillar 1),50.0
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,2023,7046310,53.62375,Data Use (Pillar 1),60.0
MDG,Madagascar,Sub-Saharan Africa,Low income,2023,30325732,53.398333333333326,Data Use (Pillar 1),60.0
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,2023,231856,53.10125,Data Use (Pillar 1),60.0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,2023,102262808,52.43916666666666,Data Use (Pillar 1),70.0
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,2023,103698,52.38708333333334,Data Use (Pillar 1),50.0
BHR,Bahrain,Middle East & North Africa,High income,2023,1485509,51.579166666666666,Data Use (Pillar 1),60.0
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2023,334506,51.102500000000006,Data Use (Pillar 1),56.60000000000001
BHS,"Bahamas, The",Latin America & Caribbean,High income,2023,412623,49.76666666666667,Data Use (Pillar 1),60.0
SOM,Somalia,Sub-Saharan Africa,Low income,2023,18143378,49.68833333333334,Data Use (Pillar 1),80.0
GIN,Guinea,Sub-Saharan Africa,Lower middle income,2023,14190612,49.65583333333333,Data Use (Pillar 1),66.60000000000001
KIR,Kiribati,East Asia & Pacific,Lower middle income,2023,133515,48.99791666666667,Data Use (Pillar 1),50.0
AND,Andorra,Europe & Central Asia,High income,2023,80088,48.79666666666667,Data Use (Pillar 1),60.0
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2023,10143543,48.60833333333333,Data Use (Pillar 1),60.0
BDI,Burundi,Sub-Saharan Africa,Low income,2023,13238559,47.28083333333334,Data Use (Pillar 1),70.0
CAF,Central African Republic,Sub-Saharan Africa,Low income,2023,5742315,47.26625000000001,Data Use (Pillar 1),50.0
GRD,Grenada,Latin America & Caribbean,Upper middle income,2023,126183,47.06583333333334,Data Use (Pillar 1),70.0
GAB,Gabon,Sub-Saharan Africa,Upper middle income,2023,2436566,46.82916666666667,Data Use (Pillar 1),60.0
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,2023,10329931,45.91458333333334,Data Use (Pillar 1),60.0
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2023,2150842,45.90416666666667,Data Use (Pillar 1),90.0
SDN,Sudan,Sub-Saharan Africa,Low income,2023,48109006,44.74,Data Use (Pillar 1),46.6
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,2023,6106869,43.16166666666666,Data Use (Pillar 1),50.0
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,2023,740424,42.935,Data Use (Pillar 1),30.0
TUV,Tuvalu,East Asia & Pacific,Upper middle income,2023,11396,42.35875,Data Use (Pillar 1),50.0
DMA,Dominica,Latin America & Caribbean,Upper middle income,2023,73040,42.3425,Data Use (Pillar 1),60.0
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,2023,47755,42.16083333333333,Data Use (Pillar 1),60.0
NRU,Nauru,East Asia & Pacific,High income,2023,12780,42.1525,Data Use (Pillar 1),50.0
DJI,Djibouti,Middle East & North Africa,Lower middle income,2023,1136455,41.580000000000005,Data Use (Pillar 1),50.0
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,2023,41996,40.98166666666666,Data Use (Pillar 1),30.0
HTI,Haiti,Latin America & Caribbean,Lower middle income,2023,11724763,39.60541666666667,Data Use (Pillar 1),50.0
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,2023,28838499,39.3925,Data Use (Pillar 1),60.0
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,2023,115224,36.50791666666666,Data Use (Pillar 1),20.0
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,2023,23227014,36.17791666666667,Data Use (Pillar 1),46.6
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,2023,34449825,35.694583333333334,Data Use (Pillar 1),36.6
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2023,1714671,35.06125,Data Use (Pillar 1),30.0
LBY,Libya,Middle East & North Africa,Upper middle income,2023,6888388,33.064166666666665,Data Use (Pillar 1),20.0
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2023,6516100,30.7175,Data Use (Pillar 1),60.0
SSD,South Sudan,Sub-Saharan Africa,Low income,2023,11088796,27.51125,Data Use (Pillar 1),40.0
ASM,American Samoa,East Asia & Pacific,High income,2023,43914,,Data Use (Pillar 1),40.0
ABW,Aruba,Latin America & Caribbean,High income,2023,106277,,Data Use (Pillar 1),40.0
BMU,Bermuda,North America,High income,2023,63489,,Data Use (Pillar 1),40.0
VGB,British Virgin Islands,Latin America & Caribbean,High income,2023,31538,,Data Use (Pillar 1),40.0
CYM,Cayman Islands,Latin America & Caribbean,High income,2023,69310,,Data Use (Pillar 1),30.0
CHI,Channel Islands,Europe & Central Asia,High income,2023,175346,,Data Use (Pillar 1),40.0
COM,Comoros,Sub-Saharan Africa,Lower middle income,2023,852075,,Data Use (Pillar 1),60.0
CUB,Cuba,Latin America & Caribbean,Upper middle income,2023,11194449,,Data Use (Pillar 1),40.0
CUW,Curacao,Latin America & Caribbean,High income,2023,147862,,Data Use (Pillar 1),60.0
ERI,Eritrea,Sub-Saharan Africa,Low income,2023,3748901,,Data Use (Pillar 1),36.6
FRO,Faroe Islands,Europe & Central Asia,High income,2023,53270,,Data Use (Pillar 1),40.0
PYF,French Polynesia,East Asia & Pacific,High income,2023,308872,,Data Use (Pillar 1),40.0
GIB,Gibraltar,Europe & Central Asia,High income,2023,32688,,Data Use (Pillar 1),40.0
GRL,Greenland,Europe & Central Asia,High income,2023,56865,,Data Use (Pillar 1),40.0
GUM,Guam,East Asia & Pacific,High income,2023,172952,,Data Use (Pillar 1),40.0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2023,7536100,,Data Use (Pillar 1),60.0
IMN,Isle of Man,Europe & Central Asia,High income,2023,84710,,Data Use (Pillar 1),40.0
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,2023,26160821,,Data Use (Pillar 1),10.0
XKX,Kosovo,Europe & Central Asia,Upper middle income,2023,1756374,,Data Use (Pillar 1),60.0
LIE,Liechtenstein,Europe & Central Asia,High income,2023,39584,,Data Use (Pillar 1),50.0
MAC,"Macao SAR, China",East Asia & Pacific,High income,2023,704149,,Data Use (Pillar 1),50.0
MCO,Monaco,Europe & Central Asia,High income,2023,36297,,Data Use (Pillar 1),60.0
NCL,New Caledonia,East Asia & Pacific,High income,2023,267940,,Data Use (Pillar 1),60.0
MNP,Northern Mariana Islands,East Asia & Pacific,High income,2023,49796,,Data Use (Pillar 1),40.0
PRI,Puerto Rico,Latin America & Caribbean,High income,2023,3205691,,Data Use (Pillar 1),40.0
SMR,San Marino,Europe & Central Asia,High income,2023,33642,,Data Use (Pillar 1),70.0
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,2023,41163,,Data Use (Pillar 1),30.0
MAF,St. Martin (French part),Latin America & Caribbean,High income,2023,32077,,Data Use (Pillar 1),40.0
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,2023,46062,,Data Use (Pillar 1),30.0
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,2023,104917,,Data Use (Pillar 1),40.0
POL,Poland,Europe & Central Asia,High income,2022,36821749,94.18875,Data Use (Pillar 1),100.0
FIN,Finland,Europe & Central Asia,High income,2022,5556106,93.74916666666668,Data Use (Pillar 1),100.0
DNK,Denmark,Europe & Central Asia,High income,2022,5903037,93.20333333333336,Data Use (Pillar 1),100.0
SWE,Sweden,Europe & Central Asia,High income,2022,10486941,92.96125000000002,Data Use (Pillar 1),100.0
SVN,Slovenia,Europe & Central Asia,High income,2022,2111986,92.70416666666668,Data Use (Pillar 1),100.0
NLD,Netherlands,Europe & Central Asia,High income,2022,17700982,92.5,Data Use (Pillar 1),100.0
PRT,Portugal,Europe & Central Asia,High income,2022,10409704,92.35833333333332,Data Use (Pillar 1),100.0
EST,Estonia,Europe & Central Asia,High income,2022,1348840,91.89208333333336,Data Use (Pillar 1),100.0
USA,United States,North America,High income,2022,333271411,91.87541666666668,Data Use (Pillar 1),100.0
CAN,Canada,North America,High income,2022,38939056,91.82166666666669,Data Use (Pillar 1),100.0
DEU,Germany,Europe & Central Asia,High income,2022,83797985,91.78208333333332,Data Use (Pillar 1),100.0
NOR,Norway,Europe & Central Asia,High income,2022,5457127,91.69916666666668,Data Use (Pillar 1),100.0
ESP,Spain,Europe & Central Asia,High income,2022,47778340,91.5025,Data Use (Pillar 1),100.0
ITA,Italy,Europe & Central Asia,High income,2022,58940425,91.4525,Data Use (Pillar 1),100.0
FRA,France,Europe & Central Asia,High income,2022,67971311,90.83958333333332,Data Use (Pillar 1),100.0
JPN,Japan,East Asia & Pacific,High income,2022,125124989,90.28875,Data Use (Pillar 1),100.0
AUT,Austria,Europe & Central Asia,High income,2022,9041851,90.10291666666669,Data Use (Pillar 1),100.0
AUS,Australia,East Asia & Pacific,High income,2022,26014399,89.82625,Data Use (Pillar 1),90.0
CZE,Czechia,Europe & Central Asia,High income,2022,10672118,89.61625,Data Use (Pillar 1),100.0
GEO,Georgia,Europe & Central Asia,Upper middle income,2022,3712502,89.56625,Data Use (Pillar 1),100.0
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,2022,5180829,89.43458333333334,Data Use (Pillar 1),100.0
LVA,Latvia,Europe & Central Asia,High income,2022,1879383,89.05083333333334,Data Use (Pillar 1),100.0
CHE,Switzerland,Europe & Central Asia,High income,2022,8775760,89.04125,Data Use (Pillar 1),100.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,2022,127504125,88.97458333333333,Data Use (Pillar 1),100.0
HUN,Hungary,Europe & Central Asia,High income,2022,9643048,88.87250000000002,Data Use (Pillar 1),100.0
GRC,Greece,Europe & Central Asia,High income,2022,10426919,88.74791666666665,Data Use (Pillar 1),100.0
BEL,Belgium,Europe & Central Asia,High income,2022,11685814,88.69666666666667,Data Use (Pillar 1),100.0
LTU,Lithuania,Europe & Central Asia,High income,2022,2831639,88.57083333333335,Data Use (Pillar 1),90.0
SVK,Slovak Republic,Europe & Central Asia,High income,2022,5431752,88.47083333333335,Data Use (Pillar 1),90.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,2022,51672569,88.45500000000001,Data Use (Pillar 1),100.0
NZL,New Zealand,East Asia & Pacific,High income,2022,5117200,88.26458333333335,Data Use (Pillar 1),100.0
LUX,Luxembourg,Europe & Central Asia,High income,2022,653103,88.08333333333334,Data Use (Pillar 1),100.0
BLR,Belarus,Europe & Central Asia,Upper middle income,2022,9228071,87.78916666666667,Data Use (Pillar 1),100.0
IRL,Ireland,Europe & Central Asia,High income,2022,5127170,87.76125000000002,Data Use (Pillar 1),90.0
BGR,Bulgaria,Europe & Central Asia,High income,2022,6465097,87.15041666666669,Data Use (Pillar 1),100.0
SGP,Singapore,East Asia & Pacific,High income,2022,5637022,86.6675,Data Use (Pillar 1),100.0
GBR,United Kingdom,Europe & Central Asia,High income,2022,67791000,86.64750000000002,Data Use (Pillar 1),100.0
